Name,Tanks
Maple,"T54E2,T34,FV4202,T-44-100,M6A2E1,M41A1,Tigris,HT. No. VI,A30 Challenger,Strv m/42 DT,SU-85M,M4A1 (FL10),M4A1 (76) W,Sherman IC ""Trzyniec"",Cromwell I,Cromwell V (RP-3),M24,BT-7A (F-32),A13 Mk. II (1939)"
Ooarai,"A13 Mk. II,Pz. VIII 'Maus',Ho-Ri Production,AMX M4,Tortoise,T28 GMC,M26E1,T-44,Centurion Mk.1,Black Prince,KV-122,Charioteer,ARL-44,M36 GMC,T-34-85,M4A3 (76) W,VK 45.01 (P),A30 Challenger,Jagdpanzer IV/70 (V),M4A1 (FL10),Comet,TOG II,Pz.IV H,Cromwell I,M4A4,Pz.IV G,Pz.IV F2,Archer,Crusader Mk. III,M3 Lee,40M Turan I,Pz.IV E,Pz.38 (t) F,Vickers Independent,A13 Mk. II,M2A4,FCM.36,Mark V,Beutepanzer IV,AMC.34 YR"
Pravda,"T-54 (1951),Tiger II (H) Sla. 16,Ho-Ri Production,Pz. V ""Panther"" II,IS-2 (1944),Sturmtiger,Panther G,KV-220,T-44,IS-2,KV-122,M4A3E2,T20,Pz. VI 'Tiger' H1,2x T-34-85,T-34-85 (D-5T),Comet,ISU-152,KW I C 756 (r),T-34-57,StuG III G,2x T-34 (1942),T-34 (1941),BT-7A (F-32),SU-122,T-28E,T-50,2x BT-7M,3x BT-5,T-60,L3/33 CC"
Saunders,"M103,2x T29,Ho-Ri Production,Pz. VI B 'Tiger II' (H),Pz. V ""Panther"" II,T26E1-1,Super Hellcat,M26,M26E1,M4A3E2 (76) W,IS-2,Tiger West,ARL-44,2x M36 GMC,T1E1 (90 mm),M36B1,M4A3 (76) W,T-34-85 Gai,Sherman VC (APDS),Avenger,Chi-Ri II,Sherman IC ""Trzyniec"",2x M4A2,43M Turan III,M4,M2A2,M3 Stuart,M5A1 Stuart,Celere Sahariano,Pz.IV F1,Lago I (APDS),AMX-13 (FL11),M24,Pz.IV G (IT),M4A4,Ram Mk II,M4A4,M4A1 (75) W"
Saint Gloriana,"5x Tetrarch,Harry Hopkins,BT-7M,AMX-13,Valentine Mk. IX,Strv m/42 EH,2x Crusader Mk. III,Chi-Nu,Pz.III M,Pz.III N,Cromwell I,M4A1 (76) W,Sherman VC,Comet,Panther G,T-34-85 Gai,Centurion Mk.1,T34,2x Churchill Mk. I,Churchill NA75,KV-1 (ZiS-5),2x Churchill Mk. VII,Pz. VI 'Tiger' E,Pz. VI B 'Tiger II' (H),75/46 M43,Jagdpanzer 38 (t),Achilles,M36 GMC,T-34E,Pz.Bfw.IV J"
Tategoto,"L3/33 CC"
Viggen,"L3/33 CC"
Waffle,"M4A3E2,T-34-85,M4A1 (76) W,Jagdpanzer IV,KV-2 (1939),Cromwell V,StuG III A,BT-42"
West Kureouji,"L3/33 CC"
Yogurt,"L3/33 CC"
