Name,Tanks
Kebab,"1x L3/33 CC,1x R.35 (SA38),1x M3A1 Stuart,2x M3 Lee,1x Pz.III M,1x Valentine Mk. IX,5x M24,1x StuG III F,1x StuG III G,1x KV-1 (ZiS-5)"
Koala,"1x A13 Mk. I,1x M2A4,1x M22,1x M3 Lee,2x Crusader Mk. III,1x M4A1,1x M4A1 (76) W,2x Sherman VC,1x Sherman VC (APDS),2x A.C.IV,1x Jagdpanzer IV/70 (V),1x Pz. VI 'Tiger' E,1x Centurion Mk.1,1x M4A3E2 (76) W,1x T-44"
Kuromorimine,"2x Pz.III F,2x Pz.38 (t) n.A.,1x Pz.III N,1x Pz.III M,1x StuH 42 G,2x Pz.IV F2,1x M24,1x Pz.IV G (IT),1x Pz.IV H,2x StuG III G,1x Avenger,1x KV-85,1x M4A1 (76) W,1x VK 30.02 M,1x M4A2 (76) W,1x T-34-85 (D-5T),2x Jagdpanzer IV/70 (V),1x M36 GMC,2x Panther G,1x Pz. VI 'Tiger' E,1x PzBfw VI (P),1x Panther F,1x T-44,1x Ho-Ri Prototype,1x M26,1x T-34-100,1x JPz. V 'Jagdpanther',1x Pz. VI B 'Tiger II' (P),1x T26E1-1,1x Pz. V ""Panther"" II,2x Tiger II (H) Sla. 16,1x JPz. VI 'Jagdtiger',1x Pz. VI B 'Tiger II' (H),1x Tiger II (H) 10.5cm,1x T29,1x T-44-100,1x Pz. VIII 'Maus',2x T-54 (1949),1x AMX-50 Surbaisse"
Maginot,"2x AMX-13 (FL11),1x Pz.IV J,2x Pz.IV H,2x M4A2,1x T-34E,1x T-34-57,1x M4A1 (76) W,1x Churchill Mk. VII,1x Sherman VC,1x M4A2 (76) W,1x T-34-85,1x Panther G,1x Tigris,1x M4A3E2 (76) W,1x M26,1x T-44,1x Centurion Mk.1,1x AMX-13,2x M46,1x Sturmtiger,1x AMX M4,1x Tiger II (H) Sla. 16,1x T30,2x T34,1x T29,1x Centurion Mk.3"
Maple,"1x Tetrarch,1x A13 Mk. II,1x M3A1 Stuart,1x M3 Lee,1x Grant I,1x Crusader Mk. III,1x M24,1x SMK,1x Pz.IV H,1x M4 Sherman Calliope,1x SU-85,1x T1E1,1x M4A2 (76) W,1x M4A3E2,1x Pz. VI 'Tiger' H1,1x M4A3 (76) W,1x Panther F,1x T26E1-1"
Ooarai,"1x H.39,2x I-Go/Ko,2x A13 Mk. I,1x M2A4,1x Pz.38 (t) F,1x M22,1x Pz.IV F1,1x Pz.III J1,2x SU-57B,2x Pz.III M,1x Chi-Nu,1x StuG III F,1x Pz.IV F2,1x M24,1x Pz.IV G,1x Pz.IV H,1x StuG III G,1x Chi-Nu II,1x Jagdpanzer 38 (t),1x Jagdpanzer IV,1x M4A1 (76) W,1x Sherman VC,1x Jagdpanzer IV/70 (V),1x Pz. VI 'Tiger' E,1x PzBfw VI (P)"
Pravda,"4x BT-5,1x RBT-5,1x BT-7M,1x Pz.III M,1x M4A3 (105),1x M4A1,1x Cromwell I,1x KV-2 (1939),1x KW II 754 (r),1x T-34 (1941),1x T-34 (1942),1x T-34E STZ,1x T-34-57,1x Chi-Ri II,1x T-34-85,1x T-34-85 Gai,1x KV-122,1x Pz. VI 'Tiger' E,1x IS-2,1x T-44,1x IS-2 (1944),1x Pz. V ""Panther"" II,1x T-44-100,1x T29,1x T-54 (1949)"
Saint Gloriana,"1x Stuart III,1x Churchill AVRE,2x Crusader Mk. II,1x 3in Gun Carrier,1x Valentine Mk. XI,1x Valentine Mk. IX,2x Crusader Mk. III,1x Pz.III N,1x Pz.III M,2x Archer,1x M10 GMC,1x Sherman II,1x Cromwell I,1x Pz.IV H,1x Churchill NA75,1x Churchill Mk. VII,1x Comet,1x M4A2 (76) W,1x T-34-85,1x Jagdpanzer IV/70 (V),1x Black Prince,1x FV4005,1x Pz. V ""Panther"" II,1x Centurion Mk.3,1x Lorraine 40T"
Saunders,"1x M2A4,1x M3 Stuart,3x M5A1 Stuart,1x M24,1x M4,1x M4A2,1x M4A1 (76) W,1x M6A1,1x M4A2 (76) W,1x Sherman VC (APDS),1x T1E1,1x M4A3 (76) W,1x M4A3E2,1x M36 GMC,1x M4A3E2 (76) W,2x T26E1-1,1x T34,1x Super Hellcat,1x M47,1x T29"
Tategoto,"1x Ha-Go,1x Tetrarch,1x RBT-5,1x Pz.38 (t) A,1x Char 2C Bis,1x T-28E,1x Pz.III M,1x BT-7A (F-32),1x Pz.IV F2,1x P40,1x Cromwell I,1x T-34 (1942),1x StuG III G,1x M4 Sherman Calliope,1x M4A2,1x Chi-Nu II,1x StuPz. IV 'Brummbar',1x M4 Tipo IC,1x T-34-57 (1943),1x M6A1,1x M4A2 (76) W,1x SU-85M,1x M36 GMC,1x M4A3E2,1x T-34-85,1x Pz. VI 'Tiger' E,1x PzBfw VI (P),1x KV-122,1x ARL-44,1x KV-220,1x ST-A3,1x Pz. VI B 'Tiger II' (P),1x T26E1-1,1x IS-2 (1944),1x Sturmtiger,1x AMX M4,1x T30,1x Tiger II (H) Sla. 16,1x T29,1x Ho-Ri Production,1x SU-122-54,1x Centurion Mk.3,1x T32E1,1x AMX-50,1x AMX-50 Foch,1x T-54 (1951),1x Somua SM"
Viggen,"2x L3/33 CC,1x BT-5,1x Pz. Neubaufahrzeug,1x BT-7M,1x T-28,1x Pz.III J1,1x Valentine Mk. XI,1x Pz.III M,1x Sav m/43 (1946),1x Cromwell V (RP-3),1x M4A4,1x M4A2,1x StuG III G,1x M4A2 (76) W,1x VK 30.02 M,1x Panther D,1x ARL-44,1x Panther A,1x Type 61,1x T-44-122,1x T34,1x Tiger II (H) Sla. 16,1x Ho-Ri Production,1x Char 25T,1x Lorraine 40T,1x Centurion Mk.5/1"
Waffle,"2x M4A3 (105),2x M4,1x Pz.IV G,1x M4A2,1x M4A1 (76) W,1x Sherman VC,1x M4A4 (SA50),1x VK 30.02 M,1x M4A3E2,1x Panther G,1x M41A1,1x Charioteer,1x T26E1-1,1x T26E5,1x Centurion Mk.3"
West Kureouji,"1x A13 Mk. II,1x Chi-Ha-Kai,1x Crusader Mk. III,2x M24,1x Cromwell I,1x Churchill Mk. III,1x StuG III G,1x M4A1 (76) W,1x Churchill Mk. VII,1x T-34-57,2x M4A2 (76) W,1x Charioteer"
Yogurt,"1x BT-7,1x 105/25 M43,1x Pz.III M,1x Pz.IV F2,1x Pz.IV G,2x T-34 (1941),1x Pz.IV H,1x KV-1E,1x StuG III G,1x Panther A,1x Pz. VI B 'Tiger II' (H)"
