Tank Name,Cost,BR,Type,Actual BR,Rank,Alias,Internal IDs,,,,,,,,
B1 bis,88000,2.3,HT,2.3,2,,fr_b1_bis,,,,,,,,
Pz.IV F1,72000,2.3 (2.0),MT,2.3,2,,germ_pzkpfw_IV_ausf_F,,,,,,,,
M3A3 Stuart,56000,2.3 (2.7),LT,2.3,2,,cn_m3a3_stuart | fr_m3a3_stuart,,,,,,,,
M5A1 Stuart,56000,2.3 (2.7),LT,2.3,2,,us_m5a1_stuart | cn_m5a1_stuart | us_m5a1_stuart_td,,,,,,,,
Crusader Mk. II,56000,2.3 (2.7),LT,2.3,2,Crusader II,uk_crusader_mk_2_the_saint | fr_crusader_mk_2 | uk_crusader_mk_2,,,,,,,,
Chi-He,72000,2.3 (2.7),MT,2.3,2,,jp_type_1_chi_he | jp_type_1_chi_he_5th_regiment,,,,,,,,
Celere Sahariano,72000,2.3 (2.7),MT,2.3,2,Celere Sah.,it_sahariano,,,,,,,,
Strv m/41 S-II,56000,2.3 (2.7),LT,2.3,2,,sw_strv_m41_s2,,,,,,,,
Char 2C Bis,112000,2.5,HT,2.5,1,,fr_char_2c_bis,,,,,,,,
B1 ter,100000,2.5,HT,2.5,2,,fr_b1_ter,,,,,,,,
SU-57B,81000,2.5,TD,2.5,2,,ussr_su_57b,,,,,,,,
3in Gun Carrier,81000,2.5,TD,2.5,2,,uk_3_inch_gun_carrier,,,,,,,,
Valentine Mk. XI,81000,2.5,MT,2.5,2,Valentine XI,uk_valentine_mk_11,,,,,,,,
Lago I (APDS),81000,2.5,MT,2.5,2,Lago I,sw_lago_1,,,,,,,,
Strv m/42 EH,81000,2.5,MT,2.5,2,,sw_strv_m42_eh,,,,,,,,
M3 Lee,90000,2.7,MT,2.7,2,,us_m3_lee,,,,,,,,
Pz.III J1,90000,2.7,MT,2.7,2,MT. No. III {Pz.III J1},germ_pzkpfw_III_ausf_J | germ_pzkpfw_III_ausf_J_td,,,,,,,,
Grant I,90000,2.7,MT,2.7,2,M3 Grant,uk_mk1_grant | us_mk1_grant,,,,,,,,
Matilda III,112000,2.7,HT,2.7,2,,uk_a_12_mk_2_matilda_2,,,,,,,,
40/43M Zrinyi II,90000,2.7,TD,2.7,2,Zrinyi II,it_40_43m_zrinyi_2,,,,,,,,
Matilda Hedgehog,112000,2.7,HT,2.7,2,Matil. Hedgehog,uk_matilda_hedgehog,,,,,,,,
Valentine Mk. IX,90000,2.7,MT,2.7,2,MK-IX Valentine,ussr_valentine_mk_9,,,,,,,,
105/25 M43,90000,2.7,TD/SPG,2.7,2,,it_semovente_m43_105 | it_semovente_m43_105_leoncello,,,,,,,,
Pvkv IV,90000,2.7,PWMT,2.7,3,,sw_pvkv_iv,,,,,,,,
T-126,90000,2.7 (3.0),LT,2.7,2,,ussr_t_126sp,,,,,,,,
A.C.I,100000,2.7 (3.0),MT,2.7,2,,uk_ac1_sentinel,,,,,,,,
"MK-II ""Matilda""",140000,3.0,HT,3.0,2,,ussr_a_12_mk_2_matilda_2A_F96,,,,,,,,
BT-7A (F-32),86000,3.0,LT,3.0,2,,ussr_bt_7a_f32,,,,,,,,
Pz.III L,110000,3.0,MT,3.0,2,,germ_pzkpfw_III_ausf_L,,,,,,,,
Pz.III N,110000,3.0,MT,3.0,2,,germ_pzkpfw_III_ausf_N | it_pzkpfw_III_ausf_N,,,,,,,,
StuH 42 G,110000,3.0,TD/SPG,3.0,2,,germ_stuh_III_ausf_G,,,,,,,,
Crusader Mk. III,86000,3.0,LT,3.0,2,Crusader III,uk_crusader_mk_3,,,,,,,,
StuG III F,110000,3.0,TD,3.0,2,,germ_stug_III_ausf_F,,,,,,,,
75/34 M43,110000,3.0,TD/SPG,3.0,2,,it_semovente_m43_75_34 | it_semovente_m43_75_bersaglieri,,,,,,,,
M4A3 (105),125000,3.0 (2.7),MT,3.0,2,M4A3 (105) W,fr_m4a3_105_sherman | us_m4a3_105_sherman,,,,,,,,
Archer,110000,3.0 (2.7),TD,3.0,2,,uk_sp_17_pdr_valentine,,,,,,,,
Pz.III M,110000,3.0 (3.3),MT,3.0,2,,germ_pzkpfw_III_ausf_M,,,,,,,,
Churchill Mk. I,140000,3.0 (3.3),HT,3.0,2,Churchill I,uk_a_22_mk_1_churchill_1941,,,,,,,,
Chi-Nu,110000,3.0 (3.3),MT,3.0,2,,jp_type_3_chi_nu,,,,,,,,
M4A1,136000,3.3,MT,3.3,2,,us_m4a1_1942_sherman | fr_m4a1_sherman,,,,,,,,
T-34 (1940),136000,3.3,MT,3.3,2,,ussr_t_34_1941_l_11,,,,,,,,
Pz.IV F2,136000,3.3,MT,3.3,2,Pz.IV F2 {T-4},germ_pzkpfw_IV_ausf_F2,,,,,,,,
Cromwell V,136000,3.3,MT,3.3,3,,uk_a27m_cromwell_5,,,,,,,,
P40,136000,3.3,MT,3.3,2,,it_p_26_40 | it_p_40,,,,,,,,
Sav m/43 (1946),136000,3.3,PWTD/SPG,3.3,2,Sav m/43 (46) (HEAT),sw_sav_m43_1946,,,,,,,,
AMX-13 (FL11),104000,3.3,LT,3.3,3,AMX-13 (FL-11),fr_amx_13_fl_11,,,,,,,,
Cromwell V (RP-3),142000,3.3,MT,3.3,3,Crom V (RP-3),uk_a27m_cromwell_5_rp3,,,,,,,,
Pz.IV J,154000,3.5,MT,3.5,3,,germ_pzkpfw_IV_ausf_J,,,,,,,,
M24,114000,3.5,LT,3.5,2,M24 Chaffee,jp_m24_chaffee | us_m24_chaffee_tl | sw_m24_chaffee_dk | it_m24_chaffee |cn_m24_chaffee | us_m24_chaffee,,,,,,,,
AMX-13 (M24),114000,3.5,LT,3.5,2,,fr_amx_13_chaffee,,,,,,,,
M10 GMC,149000,3.5,TD,3.5,3,,us_m10 | fr_m10,,,,,,,,
SMK,190000,3.5,HT,3.5,3,O-I {SMK},ussr_smk,,,,,,,,
Pz.IV G,149000,3.5,MT,3.5,2,,germ_pzkpfw_IV_ausf_G,,,,,,,,
Pz.Bfw.IV J,154000,3.5,MT,3.5,3,,germ_panzerbefelhswagen_IV_ausf_J,,,,,,,,
Achilles,149000,3.5,TD,3.5,3,,uk_17_pdr_m10_achilles_norfolk_yeomanry | uk_17_pdr_m10_achilles,,,,,,,,
Pz.IV G (IT),154000,3.5,MT,3.5,3,,it_pzkpfw_IV_ausf_G,,,,,,,,
M4A4,162000,3.7,MT,3.7,3,,cn_m4a4_sherman | fr_m4a4_sherman,,,,,,,,
Sherman III/IV,162000,3.7,MT,3.7,3,,sw_sherman_3_4,,,,,,,,
M4A1 (75) W,162000,3.7,MT,3.7,3,,cn_m4a1_76w_sherman,,,,,,,,
Ram Mk II,162000,3.7,MT,3.7,2,Ram II,uk_m4a5_ram_2 | us_m4a5_ram_2,Ram Mk.II,M4A5,,,,,,
Sherman II,149000,3.5,MT,3.5,3,Sherman II (Grizzly),uk_sherman_II,,,,,,,,
T-34 (1941),162000,3.7,MT,3.7,2,,ussr_t_34_1941 | ussr_t_34_1941_cast_turret,,,,,,,,
KV-1 (L-11),208000,3.7,HT,3.7,2,,ussr_kv_1_L_11,,,,,,,,
KV-2 (1939),208000,3.7,HT,3.7,2,,ussr_kv_2_1939,,,,,,,,
Cromwell I,162000,3.7,MT,3.7,2,,uk_a27m_cromwell_1,,,,,,,,
Churchill Mk. III,208000,3.7,HT,3.7,3,Pz.Kpfw. Churchill,germ_infanterie_kampfpanzer_churchill | uk_a_22b_mk_3_churchill_1942,,,,,,,,
M4A4 (1st PTG),167000,3.7,MT,3.7,3,,cn_m4a4_sherman_1st_ptg,,,,,,,,
44M Zrinyi I,162000,3.7,TD,3.7,3,Zrinyi I,it_44m_zrinyi_1,,,,,,,,
PT-76,154000,3.7,PWLT,3.7,3,,cn_pt_76,ussr_pt_76,,,,,,,
Pz.IV H,162000,3.7,MT,3.7,3,,germ_pzkpfw_IV_ausf_H,,,,,,,,
Churchill NA75,208000,3.7,HT,3.7,3,,uk_churchill_na75,,,,,,,,
T-34 (1942),167000,3.7 (4.0),MT,3.7,3,,ussr_t_34_1942,,,,,,,,
Jagdpanzer 38 (t),192000,4.0,TD,4.0,3,Hetzer,germ_jgdpz_38t,,,,,,,,
M4,192000,4.0,MT,4.0,2,M4 Sherman,us_m4_sherman_promo | us_m4_sherman,,,,,,,,
KV-2 (1940),248000,4.0,HT,4.0,3,,ussr_kv_2_1940,,,,,,,,
KW II 754 (r),248000,4.0,HT,4.0,3,,germ_kv_2_754r,,,,,,,,
ARL-44 (ACL-1),248000,4.0,HT,4.0,3,,fr_arl_44_acl1,,,,,,,,
T-34E STZ,192000,4.0,MT,4.0,3,,ussr_t_34E_STZ,,,,,,,,
KV-1S,248000,4.0,HT,4.0,3,KV-1S {KV-1A},ussr_kv_1s,,,,,,,,
StuG III G,192000,4.0,TD,4.0,3,,it_stug_III_ausf_G | germ_stug_III_ausf_G,,,,,,,,
M4 Hybrid,192000,4.0,MT,4.0,2,,it_sherman_75_37,,,,,,,,
T-34E,197000,4.0,MT,4.0,3,,ussr_t_34E,,,,,,,,
M4 Sherman Calliope,200000,4.0,MT,4.0,3,Calliope,us_m4_sherman_calliope,,,,,,,,
PT-76B,204000,4.0,PWLT,4.0,3,,ussr_pt_76b,,,,,,,,
43M Turan III,192000,4.0 (3.7),MT,4.0,3,Turan III,it_43m_turan_3,,,,,,,,
T 34 747 (r),204000,4.0 (4.3),MT,4.0,3,,germ_t_34_747,,,,,,,,
Chi-Nu II,192000,4.0 (4.3),MT,4.0,3,,jp_type_3_chi_nu_75cm_type_5,,,,,,,,
M4A2,226000,4.3,MT,4.3,3,M4 748 (a),us_m4a2_1944 | us_m4a2_sherman | us_m4a2_1944_germ,,,,,,,,
KV-7 (U-13),248000,4.0,TD/A,4.3,3,,ussr_kv_7_u13,,,,,,,,
KV-1E,292000,4.3,HT,4.3,3,KV-1B,ussr_kv_1e,,,,,,,,
SU-85,226000,4.3,TD,4.3,3,,ussr_su_85_1943,,,,,,,,
Jagdpanzer IV,226000,4.3,TD,4.3,3,JPz.IV,germ_jgdpz_IV_L48,,,,,,,,
Excelsior,292000,4.3,HT,4.3,3,,uk_a_33_excelsior,,,,,,,,
Chi-To,226000,4.3 (4.7),MT,4.3,3,,jp_type_4_chi_to,,,,,,,,
75/46 M43,226000,4.3 (4.7),TD/SPG,4.3,3,,it_semovente_m43_75_46,,,,,,,,
Pvkv m/43 (1963),226000,4.3 (5.0),PWTD,4.3,3,,sw_pvkv_m43_1963,,,,,,,,
T14,316000,4.5,HT/A,4.5,3,,germ_leopard_2_pt14 | us_t14,,,,,,,,
KV-1 (ZiS-5),316000,4.5,HT,4.5,3,,ussr_kv_1_zis_5,,,,,,,,
SU-152,243000,4.5,TD/SPG,4.5,3,,ussr_su_152 | cn_isu_152 | ussr_isu_152,,,,,,,,
Jagdpanzer IV/70 (A),243000,4.5,TD,4.5,3,Pz.IV/70 (A),pz_IV_L70_A,JPz.IV/70 (A),,,,,,,
StuPz. IV 'Brummbar',243000,4.5,TD/SPG,4.5,3,Brummbär,germ_sturmpanzer_IV_brummbar,,,,,,,,
Chi-To Late,243000,4.5,MT,4.5,3,,jp_type_4_chi_to_late,,,,,,,,
M4A1 (76) W,260000,4.7,MT,4.7,3,,us_m4a1_76w_sherman,,,,,,,,
T-34-57,260000,4.7,MT,4.7,3,,ussr_t_34_1941_57,,,,,,,,
T-34-57 (1943),265000,4.7,MT,4.7,3,,ussr_t_34_57_1943,,,,,,,,
KV-1 (1942),340000,4.7,HT,4.7,3,Klimi,sw_kv_1_1942_fin,,,,,,,,
SU-100Y,260000,4.7,TD,4.7,3,,ussr_su_100Y,,,,,,,,
Avenger,260000,4.7,MT,4.7,3,,uk_a30_sp_avenger | uk_a30_sp_avenger_kit_3rank,,,,,,,,
Churchill Mk. VII,340000,4.7,HT,4.7,3,Churchill VII,uk_a_22f_mk_7_churchill_1944,,,,,,,,
Churchill Crocodile,340000,4.7,HT,4.7,3,,uk_a_22f_mk_7_churchill_crocodile,,,,,,,,
"Sherman IC ""Trzyniec""",265000,4.7,MT,4.7,3,Sherman IC,uk_sherman_ic_firefly,,,,,,,,
M4 Tipo IC,260000,4.7,MT,4.7,3,,it_sherman_VII,,,,,,,,
Sherman VC,260000,4.7,MT,4.7,3,Firefly,uk_sherman_vc_firefly_kit_3rank | uk_sherman_vc_firefly,,,,,,,,
KV-2 (ZiS-6),340000,4.7,HT,4.7,3,,ussr_kv_2_zis_6,,,,,,,,
M6A1,340000,4.7 (5.0),HT,4.7,3,,us_m6a1,,,,,,,,
Chi-Ri II,260000,4.7 (5.0),MT,4.7,3,,jp_type_5_chi_ri,,,,,,,,
KV-85,392000,5.0,HT,5.0,3,,ussr_kv_85,,,,,,,,
ISU-152,342000,5.0,TD/SPG,5.0,3,,cn_isu_152 | ussr_isu_152,,,,,,,,
T1E1,392000,5.0,HT,5.0,3,,us_t1e1,,,,,,,,
SU-85M,300000,5.0,TD,5.0,3,,ussr_su_85m,,,,,,,,
VK 30.02 M,300000,5.0,MT,5.0,3,,germ_vk_3002m,,,,,,,,
KW I C 756 (r),392000,5.0,HT,5.0,3,KW I C 756 (r) (Only 1),germ_kv_1_kwk_40,,,,,,,,
Comet,300000,5.0,MT,5.0,3,,sw_a_34_comet | uk_a_34_comet_iron_duke | uk_a_34_comet,,,,,,,,
TOG II,392000,5.0,HT,5.0,3,,uk_tog_2,,,,,,,,
Sherman VC (APDS),300000,5.0,MT,5.0,3,Sherman VC (Italy),it_sherman_vc_firefly,,,,,,,,
M4A1 (FL10),342000,5.0,PWMT,5.0,3,M4A1 (FL-10),fr_m4a1_sherman_fl_10,,,,,,,,
M4A4 (SA50),300000,5.0,MT,5.0,4,,fr_m4a4_cn_75_50,,,,,,,,
ISU-122,342000,5.0,TD,5.0,4,,cn_isu_122 | ussr_isu_122,,,,,,,,
M36B1,350000,5.3,TD,5.3,4,,it_m36b1,,,,,,,,
M4A2 (76) W,342000,5.3,MT,5.3,3,,us_m4a2_76w_sherman | ussr_m4a2_76w_sherman,,,,,,,,
M41A3,272000,5.3,PWLT,5.3,4,,cn_m41_a3_walker_bulldog,,,,,,,,
Jagdpanzer IV/70 (V),342000,5.3,TD,5.3,3,Pz.IV/70 (V),pz_IV_L70,Lang,JPz.IV/70 (V),,,,,,
VK 45.01 (P),448000,5.3,HT,5.3,4,,germ_pzkpfw_VI_tiger_P,,,,,,,,
Panther D,364000,5.3,MT,5.3,3,MT. No. V {Panther D},germ_pzkpfw_V_ausf_d_panther,,,,,,,,
A30 Challenger,342000,5.3,MT,5.3,3,Challenger,uk_a30_challenger,,,,,,,,
A.C.IV,342000,5.3,MT,5.3,3,,uk_ac4_thunderbolt,,,,,,,,
T-34-85 Gai,350000,5.5,MT,5.5,4,,cn_type_58,,,,,,,,
ISU-122S,364000,5.3,TD,5.3,4,,ussr_isu_122s,,,,,,,,
M36B2,342000,5.3,TD,5.3,4,,us_m36b2 | fr_m36b2_cefeo,,,,,,,,
Object 211,272000,5.3 (5.0),PWLT,5.3,4,,cn_object_211,,,,,,,,
T-34-85 (D-5T),342000,5.3 (5.0),MT,5.3,3,,ussr_t_34_85_d_5t,,,,,,,,
Strv m/42 DT,410000,5.3 (5.0),PWMT,5.3,3,Delat Torn,sw_strv_m42_delat_torn,,,,,,,,
M4A3 (76) W,342000,5.3 (5.7),MT,5.3,4,,us_m4a3e8_76w_sherman_kit_3rank | jp_m4a3e8_76w_sherman | us_m4a3e8_76w_sherman,,,,,,,,
T-34-85,342000,5.5,MT,5.5,4,,cn_t_34_85_zis_53_no215 | sw_t_34_85_zis_53 | ussr_t_34_85_zis_53_kit_3rank | ussr_t_34_85_zis_53_v80 | ussr_t_34_85_zis_53,,,,,,,,
T-34-85E,342000,5.5,MT,5.5,4,,ussr_t_34_85E,,,,,,,,
T-34-85 ('45),342000,5.5,MT,5.5,4,,ussr_t_34_85_zis_53_kit_3rank,,,,,,,,
T-34-85 (STP),342000,5.7,MT,5.7,4,,ussr_t_34_85_stp_s53,,,,,,,,
Strv 74,342000,5.3 (5.7),PWMT,5.3,4,,sw_strv_74,,,,,,,,
Type 63-I,272000,5.3 (6.3),PWLT,5.3,4,,cn_type_63_I,,,,,,,,
T1E1 (90 mm),478000,5.5,HT,5.5,3,,us_t1e1_90,,,,,,,,
M36 GMC,364000,5.5,TD,5.5,3,,us_m36,,,,,,,,
M4/T26,364000,5.5,MT,5.5,4,,us_m4_t26,,,,,,,,
M4A3E2,478000,5.5,HT/A,5.5,3,Jumbo,us_m4a3e2_sherman_jumbo | us_m4a3e2_sherman_jumbo_cobra_king | fr_m4a3e2_sherman_jumbo,,,,,,,,
IS-1,478000,5.5,HT,5.5,4,,ussr_is_1_kit_3rank | ussr_is_1,,,,,,,,
Pz. VI 'Tiger' H1,478000,5.5,HT,5.5,3,Tiger H1,germ_pzkpfw_VI_ausf_h1_tiger,,,,,,,,
M36B2 (JP),364000,5.5,TD,5.5,4,,jp_m36b2_jgsdf,,,,,,,,
Type 62,300000,5.5,PWLT,5.5,4,,cn_type_62 | ussr_type_62,,,,,,,,
T25,386000,5.7,MT,5.7,4,,us_t25,,,,,,,,
KV-122,508000,5.7,HT,5.7,4,,ussr_kv_122,,,,,,,,
PzBfw VI (P),508000,5.7,HT,5.7,4,,germ_panzerbefelhswagen_VI_P,,,,,,,,
Tiger Ost,508000,5.7,HT,5.7,3,,germ_pzkpfw_VI_ausf_h1_tiger_east,,,,,,,,
Tiger West,508000,5.7,HT,5.7,3,,germ_pzkpfw_VI_ausf_h1_tiger_west,,,,,,,,
HT. No. VI,508000,5.7,HT,5.7,3,,jp_pzkpfw_VI_ausf_e_tiger,,,,,,,,
ARL-44,415000,5.7,TD,5.7,3,,fr_arl_44,,,,,,,,
